中药名,别名,英文名,药用部位,植物形态,产地分布,采收加工,药材性状,性味归经,功效与作用,临床应用,主要成分,配伍药方,药理研究,使用禁忌,图片路径,来源省份,药性,药味,归经
半夏 banxia,三叶半夏、三步跳、麻芋子、水芋、地巴豆。,Pinelliae Rhizoma。,天南星科植物半夏Pinellia ternata (Thunb.) Breit.的块茎。,多年生草本。块茎近球形。叶出自块茎顶端，在叶柄下部内侧生一白色珠芽；一年生的叶为单叶，卵状心形；2～3年后，叶为3小叶的复叶，小叶椭圆形至披针形，中间小叶较大，两侧的较小，先端锐尖，基部楔形，全缘，两面光滑无毛。肉穗花序顶生，花序梗常较叶柄长；佛焰苞绿色；花单性，无花被，雌雄同株；雄花着生在花序上部，白色，雄蕊密集成圆筒形，雌花着生于雄花的下部，绿色；花序中轴先端附属物延伸呈鼠尾状，直立伸出在佛焰苞外。浆果卵状椭圆形，绿色。花期5～7月，果期8～9月。,生于山坡草地、荒地、包谷地、田边、河边及疏林下。除内蒙古、新疆、西藏外，全国各地均有分布。,夏、秋季均可采挖，洗净泥土，除去外皮和须根，晒干或烘干。本品生用有毒，用前须炮制。炮制品有：生半夏、清半夏、姜半夏、法半夏等。,类球形，有的稍偏斜，直径0.8～1.5厘米。表面白色或浅黄色，顶端中心有凹陷的茎痕，周围密布棕色凹点状的根痕；下端钝圆，较光滑。质坚实，断面白色，富粉性。气微，味辛辣、麻舌而刺喉。,性温，味辛，有毒。归脾经、胃经、肺经。,燥湿化痰、降逆止呕、消痞散结。属化痰止咳平喘药下属分类的温化寒痰药。,内服用量3～9克；或入丸、散；外用研末调敷。用治湿痰冷饮、呕吐、反胃、咳喘痰多、胸膈胀满、痰厥头痛、头晕不眠等。,含挥发油，内含3-乙酰氨基-5-甲基异唑等60多种成分及16种氨基酸和多种无机元素。其中，所含的草酸钙针晶为半夏的刺激性成分之一，经炮制后，晶形发生变化，含量急剧下降，刺激性明显减弱。另含琥珀酸、丁基乙烯基醚、苯甲醛、半夏蛋白、姜辣醇、胰蛋白酶抑制剂等。,①治湿痰喘急，止心痛：半夏不拘多少，香油炒，为末，粥丸梧桐子大。每服三五十丸，姜汤下。(《丹溪心法》),具有镇吐、催吐、镇咳、祛痰、抗癌、抗生育、抗早孕、抗心律失常、抗实验性溃疡、抗矽肺、促使外周淋巴细胞分裂等作用。,阴虚燥咳、津伤口渴、血证及燥痰者禁服，孕妇慎服。不宜与川乌、制川乌、草乌、制草乌、附子同用，生品内服宜慎。,http://www.zhongyoo.com//uploads/allimg/131207/1-13120F9504V92.jpg,"内蒙古,新疆,西藏",性温,"味辛,有毒","脾经,胃经,肺经"
鱼胆草 yudancao,金盆、青鱼胆草、水灵芝、水黄连。,暂无数据,为龙胆科獐牙菜属川东獐牙菜Swertia davidi Franch.的全草。,多年生草本，高15～50厘米。根纤细，呈明显黄色。茎直立，四棱形，棱上具狭翅，基部多分枝。单叶对生，基生叶及下部叶具柄，上部叶近于无柄；叶片条形、条状披针形至条状椭圆形，长1～5厘米，宽1～5毫米，先端渐尖或稍钝，边缘全缘略反卷，两面均为绿色。圆锥状复伞形花序，长达36厘米，稀为聚伞花序，花梗纤细；花萼4片，线状披针形；花蓝色或淡紫色，具蓝紫色脉纹；花瓣4裂，裂片卵形或卵状披针形，先端渐尖，花瓣内侧基部有2个腺体，腺体沟状，具长毛状流苏；雄蕊4，着生于花冠基部；子房狭椭圆形，无柄，花柱短，不明显，柱头2裂口蒴果椭圆形。花、果期9～11月,生于海拔900～1200米的混交林下、河边、潮湿地。分布于浙江、安徽、湖北、湖南、四川、云南等地。,6～9月采收，晒干或鲜用。,鱼胆草呈黄绿色。根纤细少分枝，根茎略呈圆柱形。茎纤细圆形略呈四棱形，多分枝，尤以基部为多，光滑无毛。单叶对生，近无柄；多皱缩。完整叶片线形或线状披针形，长1～4厘米，宽1～3毫米，先端尖，全缘，略反卷。有时可见残留花序或花。气微，味苦。,性凉，味苦。归肺经、肝经、胆经。,清热泻火，解毒利湿。属清热药下分类的清热泻火药。,煎汤内服，用量3～9克，或研末冲服。外用适量，捣敷。主治急性结膜炎，急性咽喉炎，扁桃体炎，胆囊炎，胃肠炎，细菌性痢疾，泌尿道感染、湿热黄疸，肺热咳嗽，带状疱疹，疥癣疮毒。,鱼胆草主含黄酮类，环烯醚萜类、三萜类化合物等，以獐牙菜苦苷、龙胆苦苷、熊果酸、齐墩果酸为其代表成分。,1.治肺炎：鱼胆草10克，栀子12克，黄芩9克，水煎服。(《湖北中草药志》),鱼胆草煎剂对白色葡萄球菌、鲍氏痢疾杆菌、福氏痢疾杆菌、志贺痢疾杆菌、伤寒及副伤寒杆菌、不凝集弧菌等有抑制作用，临床治疗菌痢有明显疗效。鱼胆草用95%乙醇提取物给小鼠灌服，对四氯化碳(CCI₄)所致小鼠肝损伤有明显保护作用，可使丙氨酸氨基转移酶( ALT)明显降低，从中分得之熊果酸能明显降低CCl₄所致小鼠ALT升高，表明其是保肝有效成分之一。,尚不明确。,http://www.zhongyoo.com//uploads/allimg/2112/1-2112111GS6206.jpg,"浙江,安徽,湖北,湖南,四川,云南",性凉,味苦,"肺经,肝经,胆经"
路路通,枫实、枫木上球、枫香果、枫果、枫树球、狼眼、九空子、狼目、聂子。,Liquidambaris Fructus,金缕梅科植物枫香Liquidambar formosana Hance.的成熟果序。,乔木，高达40米。树皮灰褐色，粗糙，有皮孔。单叶互生，叶片宽卵形，常3裂，幼枝及萌发枝的叶多为掌状5裂，上面深绿色，下面淡绿色；叶柄长3～7厘米；托叶线形，早落。花单性，雌雄同株；雄花为柔荑花序，无花被，雄蕊多数，花丝不等长；雌花为球形的头状花序，直径1.5厘米，有花23～43朵，花序梗长，萼齿5，钻形，无花瓣，子房半下位，2室，胚乳多数，花柱2，柱头弯曲。蒴果多数集生成头状球形果序，直径2.5～4.5厘米，表面有由宿存花柱及子房周围的苞片变成的刺状物，蒴果长椭圆形，下部藏于花序轴内，成熟时顶孔开裂。种子有发育不完全和发育完全两型，前者占多数，多角形，细小，黄棕色，后者长圆形而扁，具翅，褐色。花期3～4月，果期9～10月。,生于平原及丘陵地带。分布于我国华东、华南、西南等地。,冬季果实成熟后采收，除去杂质，干燥。,聚花果，由多数小蒴果集合而成，球形，直径2～3厘米。基部有总果梗。表面灰棕色或棕褐色，有多数尖刺及喙状小钝刺，长0.5~1厘米，常折断，小蒴果顶部开裂，呈蜂窝状小孔。体轻，质硬，不易破开。气微，味淡。,性平，味苦。归肝经、肾经。,祛风活络，利水通经。属祛风湿药下属分类的祛风湿强筋骨药。,用量5～9克，煎服。用治关节痹痛、麻木拘挛、水肿胀满、乳少经闭。,路路通含挥发油、黄酮类、酚类、有机酸及糖类。此外，尚含齐墩果酮酸甲酯、3-表齐墩果酸甲酯、3-表齐墩果酸甲酯，挥发油中含有β-松油烯、β-蒎烯、柠檬烯、α-松油烯等成分。另含熊果酸、28-去甲齐墩果酮酸、苏合香素、齐墩果酸、氧化丁香烯、a-榄香烯、环氧苏合香素、路路通内酯等成分。,①治癣：路路通10个(烧存性)，白砒0.15克。共末，香油搽。(《纲目拾遗》引《德胜堂方》),抗炎；保肝。药理实验表明，路路通有明显促进大鼠“甲醛化”关节炎肿胀消退和治疗蛋清性关节炎的功效与作用。,阴虚、月经过多及孕妇禁服。,http://www.zhongyoo.com//uploads/allimg/140122/1-140122103013942.jpg,"华东,华南",性平,味苦,"肝经,肾经"
党参 dangshen,条党、单枝党、板桥党、防党参、上党参、狮头参、中灵草、黄参。,Codonopsis Radix。,桔梗科植物党参Codonopsis pilosula(Franch.)Nannf.、素花党参Codonopsis pilosula Nannf.var.modesta(Nannf.)L.T.Shen或川党参Codonopsis tangshen Oliv.的干燥根。,草质藤本。除叶片两面密被柔毛外，全体几近无毛。根常肥大肉质，呈纺锤状或纺锤状圆柱形，少分枝或中部以下略有分枝，表面灰黄色。茎缠绕多分枝。叶在主茎及侧枝上的互生，在小枝上的近于对生；叶片卵形、窄卵形或披针形，顶端钝或急尖，基部楔形或较圆钝，稀心形，上面绿色，下面灰绿色，边缘浅钝锯齿。花单生于枝端，与叶柄互生或近于对生；有花梗，花萼5深裂，仅基部与子房合生，长圆状披针形，先端急尖，微波状或近于全缘；花冠钟状，淡黄绿色内有紫斑，5浅裂，裂片近于正三角形；花丝基部微扩大；子房下位。种子多数，椭圆形，细小，棕黄色。花、果期7～10月。,生长于海拔900～2300米的林边灌木丛中，现有大量栽培。分布于湖北、湖南、四川、贵州等地。,秋季采挖3年生以上的根，洗净，晒干。,圆柱形，末端较细，有的分枝，长10～45厘米， 径0.5～2厘米。表面灰黄色至黄棕色，根头部有多数疣状突起的茎痕和芽，习称“狮子盘头”，根头下部有环状横纹，全体有明显不规则的纵沟及散在横长皮孔；支根断落处有黑褐色胶状物，习称“豆豉尾”。质较软而结实，断面稍有裂隙，皮部黄白色，木部淡黄色。气香特异，味甜。,性平，味甘。归脾经、肺经。,补中益气、健脾益肺。属补虚药下属分类的补气药。,用量9～30克，煎服；或熬膏、入丸、散。生津、养血宜生用；补脾益肺宜炙用。用治脾肺虚弱、气短心悸、食少便溏、虚喘咳嗽、内热消渴。,党参含挥发油、黄芩素葡萄糖苷、微量生物碱、氨基酸、多糖及皂苷，并含有丁香苷、正己基-β-D-吡喃葡萄糖苷、蒲公英赛醇、无羁萜等成分。,①清肺气，补元气，开声音，助筋力：党参(软甜者，切片)一斤，沙参(切片)半斤，桂圆肉四两。水煎浓汁，滴水成珠，用瓷器盛贮。每用一酒杯，空心滚水冲服，冲入煎药亦可。(《得配本草》上党参膏),增强机体应激能力、免疫功能，延缓衰老，抗溃疡，能使离体豚鼠和兔肠紧张性升高，收缩加强，并能拮抗5-羟色胺引起的肠挛缩，但对乙酰胆碱引起的无明显作用；能显著减少小鼠自发活动，延长戊巴比妥钠或环己巴比妥的睡眠时间；能增进或改善小鼠记忆的获得、记忆巩固和樟柳碱引起的记忆获得障碍；可使家兔红细胞数及血红蛋白量增加，白细胞总数减少。还有抗肿瘤、升高血糖和抑菌作用等。党参水煎液灌胃，使小鼠对钴-γ射线有一定保护作用。多糖对实验动物应激性溃疡等多种溃疡均有明显的对抗作用。党参注射液有抗心肌缺血、缺氧的功效与作用。,实证、热证禁服；正虚邪实证，不宜单独应用，不宜与黎芦同用。,http://www.zhongyoo.com//uploads/allimg/131231/1-13123111430BQ.jpg,"湖北,湖南,四川,贵州",性平,味甘,"脾经,肺经"
胆木,山熊胆、熊胆树、细叶黄棵木、黄羊木、药乌檀、黄胆木、黄心木、树黄柏。,暂无数据,为茜草科植物胆木Nauclea officinalis Pierre. ex Pitard的枝、树皮。,乔木，高4～12米，小枝纤细而光滑。叶纸质，对生，椭圆形，稀倒圆形，长7～11厘米，宽3.5～5厘米。顶端渐尖而略钝，基部楔形，侧脉每边5～7对，纤细，向上斜伸，近边缘处连结，在叶片两边略凸起；叶柄长10～15厘米，稍粗壮；托叶早落，倒卵形，长6～10厘米，顶端钝圆。头状花序顶生，单生；总花梗长1～3厘米，中部以下有早落的苞片。小坚果合成一球状体，成熟时黄褐色，直径9～15厘米，表面粗糙。种子椭圆形，长1厘米，腹面平坦，背面拱起，种皮黑色有光泽并有微小窝孔。果期夏季。,生于半山腰荫蔽潮湿地带的杂木林中。主产于广东、广西、海南、湖南等地。,全年均可采，切片，晒干。,多劈成不规则的片、块，浅黄色或棕黄色，有的残留皮部，外皮灰绿色或者棕绿色，粗糙，具多数点状皮孔，较疏松，易剥离。横切面皮部棕褐色，木部黄色或棕黄色。质坚硬，气微，味苦。,性寒，味苦。归肺经、大肠经。,清热解毒，消肿止痛。属清热药下分类的清热解毒药。,煎汤内服，用量15～30克。外用适量，煎水洗。用治乳蛾，痢疾，热淋，下肢溃疡，疖肿脓疡，湿疹。,胆木茎中主要含生物碱类和生物碱苷类，其中生物碱有：乌檀费新碱，乌檀费丁碱，乌檀福林碱，1-乙酰基咔啉，乌檀费林碱和乌檀醛碱。生物碱苷有胆木碱庚，胆木碱辛和长春花苷内酰胺。另外含有奎诺酸，β-谷甾醇，香草酸。,1.治钩端螺旋体病：①胆木注射液(每1毫升含胆木的乙醇提取物3克)，每8小时肌内注射1次，每次2～3毫升，用至体温正常后2～3天。有出血倾向者加紫珠草30克，水煎，每日分3次服。②胆木、大青叶、地胆草、紫珠草各60～90克(小儿酌减)，加水3碗，煎成1碗，分3次口服。在口服合剂的同时可加用胆木注射液。(《全国中草药汇编》),从胆木茎中分离得到的乌檀醛碱经抑菌试验表明有抑菌作用，乌檀醛碱在100μg/ml以上对金黄色葡萄球菌、蜡样芽胞杆菌有明显抑制作用。胆木浸膏片对冰醋酸所致的小鼠腹部毛，细血管通透性增加和二甲苯所致的小鼠耳肿胀具有非常显著的抑制作用，并显著抑制大鼠蛋清性足跖肿胀形成和棉球性慢性肉芽组织增生，对伤寒V₁多糖菌苗所致的家兔双高峰体温升高有解热功效与作用。,尚不明确。,http://www.zhongyoo.com//uploads/allimg/2112/1-21121019112T27.jpg,"广东,广西,海南,湖南",性寒,味苦,"肺经,大肠经"
山姜 shanjiang,和山姜、九姜连、姜叶淫羊藿、九龙盘、姜七、高良姜、鸡爪莲,Rhizoma Alpiniae Japonicae,为姜科植物山姜Alpinia japonica( Thunb.) Miq.的干燥根茎。,多年生草本，高35～70厘米。根茎横生，分枝。叶片通常2～5片；近无柄至具长达2厘米的叶柄；叶舌2裂，长约2毫米，被短柔毛；叶片披针形，倒披针形或狭长椭圆形，长25～40厘米，宽4～7厘米，两端渐尖，先端具小尖头，两面被短柔毛。总状花序顶生，长15～30厘米，花序轴密生绒毛；花通常2朵聚生，小花梗长约2毫米；萼棒状，长1～1.2厘米，被短柔毛，先端3齿裂；花冠管长约1厘米，被疏柔毛，花冠裂片长圆形，长约1厘米，外被绒毛，后方的一枚兜状；侧生退化雄蕊线形，长约5毫米；唇瓣卵形，宽约6毫米，白色而具红色脉纹，先端2裂，边缘具不整齐缺刻；雄蕊长1. 2～1. 4厘米；子房密被绒毛。果球形或椭圆形，熟时橙红色，先端具宿存的萼筒；种子多角形，有樟脑味。花期4～8月，果期7～12月。,生于林下阴湿处。主产于我国浙江、福建、江西、湖北、湖南、广东、广西、四川、贵州、台湾等地。,栽种2-3年后春季采挖，除去泥沙及杂质，洗净，晒干。,本品呈圆柱形，有分枝，长5～20厘米，直径0.3～1.2厘米。表面棕色或红棕色，有细密的纵皱纹及灰棕色的细密环节，被有鳞皮状叶鞘，节上有细长须根及圆形的根痕。分枝顶端有茎痕或芽痕。质柔韧，不易折断。断面黄白色或灰白色，纤维性较强，有明显的粉性，圆形内皮层环纹明显，可见细小的孔隙及筋脉点。气香，味辛辣。,性温，味辛。归肺经、胃经。,温中，散寒，祛风，活血。属温里药。,内服：煎汤，用量5～10克。外用适量，捣敷或煎水洗。用于脘腹冷痛，风湿筋骨疼痛，劳伤吐血，跌损瘀滞，月经不调。,根茎挥发油：9(10)-佛术烯-11-醇，9-羟基山姜内酯二氢沉香呋喃，10-表γ-桉叶醇，3β，4β-环氧沉香呋喃，山姜烯酮，山姜萜醇，广藿香奥醇，汉山姜过氧萜酮，异汉山姜过氧萜酮，山姜内酯过氧化物，6-羟基山姜内酯，汉山姜环氧萜醇，山姜内酯，呋喃天竺葵酮A和B，α-沉香呋喃，4α-羟基二氢沉香呋喃，3α，4α-环氧沉香呋喃，β-桉叶醇，汉山姜过氧萜醇，6，9-愈创木二烯，10-表-5β-氢过氧基-β-桉叶醇，10-表-5α-氢过氧基-β-桉叶醇，4，10-表-5β-羟基二氢桉叶醇。,1.治风湿筋骨痛：和山姜根500克，花椒子30克，五加皮150克。煎水洗。(《湖南药物志》),山姜小剂量对豚鼠小肠无影响，大剂量呈抑制作用，和山姜对乙酰胆碱和氯化钡引起的大鼠肠管紧张性、强直性收缩均有部分拮抗作用。山姜水煎剂灌胃对幽门结扎型、应激型及利血平型大鼠实验性胃溃疡均有不同程度的抑制作用，但对吲哚美辛(消炎痛)型胃溃疡作用不明显。体外试验，山姜煎剂对结肠炎耶尔森菌和摩根变形杆菌的最低抑菌浓度(MIC)是1/160(抑菌力达中度)，最低杀菌浓度(MBC)是1/80(杀菌力为低度)，对福氏痢疾杆菌的抑、杀菌作用分别是1/40和1/10，属低度有效，对肠毒素型大肠杆菌均不表现抑、杀菌作用。,尚不明确。,http://www.zhongyoo.com//uploads/allimg/2112/1-21120616012C93.jpg,"浙江,福建,江西,湖北,湖南,广东,广西,四川,贵州,台湾",性温,味辛,"肺经,胃经"
藤黄 tenghuang,玉黄、月黄。,Gutii(Gambogia),为藤黄科植物藤黄树Garcinia hanburii Hook.f.的干燥胶树脂。,常绿乔木，高约18米，小枝四棱形。叶对生，薄革质。椭圆状卵形或卵状披针形，长10-15厘米，先端钝，基部楔形，全缘；叶柄长8毫米，花单性，腋生，黄色，无柄；萼与花瓣均4片，圆形，覆瓦状排列；雄花2-3，簇生，雌花单生，较大，浆果亚球形。,生热带地区。分布于印度、泰国。我国南部及西南部地区亦产。,于雨季，在离地面3公尺的树干上作一螺旋割口，并以一较大竹筒受之，使液汁缓缓流人，然后再注人一小竹筒中，放置月余即成固体状，以火烘之，除去竹筒，收集固体物。,呈圆筒状，中空，长10～20厘米，有时成短段状，直径3～5厘米，有时为不规则的块状物或碎块粒状。外表红黄色或橙黄色，具容器遗留的细纵纹理，常被绿黄色的粉霖质硬，易碎，碎面平滑，具膜样光泽及具角状纹理。气微，味辛辣。,性寒，味酸、涩。归胃经、大肠经。,消肿排脓，散瘀解毒，杀虫止痒。属拔毒生肌药。,0.03～0.06克，炮制后入丸剂。外用：适量，研末调敷、磨汁涂搽或熬膏涂敷。用于痈疽肿毒。跌扑损伤；外用治顽癣。,含藤黄素，已知结构的有α-藤黄素及β-藤黄素，另含藤黄酸、异藤黄酸，树汁亦含藤黄双黄酮。,1.治一切无名肿毒：藤黄四两，白蜡八两，小磨麻油十二两。先将油煎熟，将成珠，入水不散，再加藤黄、白蜡搅匀，磁瓶收，面上仍以麻油养之，临用摊贴。(《不药良方》风气膏),藤黄在体内和体外均有选择性抗癌功效与作用；通过对戊巴比妥钠阈下催眠剂量的影响，表明藤黄各有明显的镇静作用，醋酸扭体反应说明藤黄有明显的镇痛作用；藤黄乙醇提取物的水混悬液低浓度兴奋、高浓度抑制兔离体十二指肠平滑肌；藤黄0.04-0.16mg/ml在试管内对金黄色葡萄球菌、八叠球菌和枯草杆菌有抑制作用。,本品毒性较大，内服少量，即能致泻。体质虚弱者禁服。如误服过量，则可引起头昏、呕吐、腹痛、泄泻，甚至致死，故多作外用，很少内服。,http://www.zhongyoo.com//uploads/allimg/2112/1-2112011R1413b.jpg,暂无数据,性寒,"味酸,涩","胃经,大肠经"
肉豆蔻 roudoukou,肉豆叩、肉果、玉果、顶头肉、迦拘勒。,Myristicae Semen。,肉豆蔻科植物肉豆蔻Myristica fragrans Houtt.的成熟种仁。,常绿乔木。单叶互生，革质；叶片椭圆状披针形或长圆状披针形，先端渐尖，基部急尖，全缘，上面暗绿色，下面色较淡，并有红棕色的叶脉。总状花序腋生，花单生，异株，小苞片鳞片状，花被钟形，3裂，黄白色；雄蕊8~12枚，花丝联合成圆柱状，花药合生；子房1室，柱头无柄。果实梨形或近圆球形，淡黄色或橙红色，肉质，露出红色肉质的假种皮，内含种子1粒，种皮红褐色，木质坚硬。,【产地分布】热带地区广为栽培。分布于马来西亚、印度尼西亚、巴西等国家。我国云南、海南、广东有栽培。,每年4～6月及11～12月各采收1次。成熟果实剖开果皮，剥下假种皮，击破壳状种皮。直接烘干，或将种仁放入石灰乳中浸1天，然后低温烘干。,卵圆形或椭圆形。表面灰棕色或灰黄色，有时外被白粉(石灰粉末)。全体有浅色纵行沟纹及不规则网状沟纹。种脐位于宽端，呈浅色圆形突起，合点呈暗凹陷。种脊呈纵沟状，连接两端。质坚，断面显棕黄色相杂的大理石花纹，宽端可见干燥皱缩的胚，富油性。气香浓烈，味辛。,性温，味辛。归大肠经、胃经、脾经。,温中行气、涩肠止泻。属收涩药下分类的敛肺涩肠药。,用量3～9克，煎服。用治脾胃虚寒、久泻不止、脘腹胀痛、食少呕吐。肉豆蔻(去壳，为末)l两，生姜汁二合，白面2两。上三味，将姜汁和面做饼，裹肉豆蔻末煨令黄熟，研为细散。每服二钱七，空心米饮调下，日午再服。治水泻无度、肠鸣腹痛(《圣济总录》肉豆蔻散)。,肉豆蔻主含挥发油，主要活性成分肉豆蔻醚、黄樟醚。另含脂肪油、淀粉、没食子油酸等其他成分。,1.治脾胃虚弱，大便不实，饮食不思：破故纸(炒)四两，肉豆蔻(生用)二两，五味子二两，吴茱萸四两。上药为末。生姜四两切碎，红枣四十九枚，用水一碗煮姜、枣，去姜，水干，取枣肉和药丸，桐子大。每服五七十丸，空心盐汤下。(《内科摘要》四神丸),肉豆蔻主要有止泻抗炎、抗血小板凝聚、抗癌、中枢镇静、抗菌等功效与作用。,有小毒。凡使，勿令犯铜不能用金属物品存放，不宜用生品。,http://www.zhongyoo.com//uploads/allimg/131213/1-13121310240NM.jpg,"云南,海南,广东",性温,味辛,"大肠经,胃经,脾经"
山萸肉 shanyurou,山茱萸、萸肉、药枣。,Corni Fructus。,山茱萸科植物山茱萸Cornus officinalis Sieb.et Zucc.的成熟果肉。,落叶灌木或小乔木，高约4米。树皮淡褐色，成薄片剥裂。枝皮灰棕色，小枝无毛。单叶对生，具短柄；叶片椭圆形或长椭圆形，先端渐尖，基部圆或楔形，全缘，上面疏生平贴毛，下面粉绿色，毛较密，侧脉6～8对，脉腋有黄褐色毛丛。夏季先叶开黄色花，伞形花序顶生或腋生，基部具4个小型苞片，花萼裂片4，不明显；花瓣4，长约3毫米；雄蕊4枚，与瓣互生；子房下位，2室，花柱1。核果长椭圆形，光滑，熟时红色，果梗细长，果皮干后呈网纹状。种子长椭圆形，两端钝圆。花期3～4月，果期9～10月。,生于阴湿沟畔、溪旁或向阳山坡灌丛中；有栽培。分布于山西、陕西、山东等地。,秋末冬初果皮变红时采收果实，用文火烘或置沸水中略烫后，及时除去果核，干燥。,果肉呈不规则的片状或囊状，长1～1.5厘米，宽0.5～1.5厘米，厚约1毫米。表面紫红色至紫黑色，皱缩，有光泽。内表面不平滑，有少数纵向脉纹。顶端有的有圆形宿萼痕，基部有果柄痕。质柔润。气微，味酸、涩、微苦。,性微温，味酸、涩。归肝经、肾经。,补益肝肾、涩精固脱。属收涩药下属分类的固精缩尿止带药。,用量6～12克。用治眩晕耳鸣、腰膝酸疼、阳痿遗精、遗尿尿频、崩漏带下、大汗虚脱、内热消渴。,山萸肉含有单萜类、脂肪醛、脂肪烃，酸、酯等芳香族化合物，另含有苷类成分，如山茱萸苷、莫罗忍冬苷、7-O-甲基莫罗忍冬苷、獐牙菜苷、番木鳖苷以及鞣质类成分和苹果酸、酒石酸、没食子酸、维生素A。,1.肾虚腰痛、阳痿遗精：山萸肉、补骨脂、菟丝子、金樱子各12克，当归9克，水煎服。,药理研究表明，山萸肉有增强机体免疫功能、抗炎、抗衰老、抑菌等功效与作用。此外，还证实有抑制血小板聚集及抗血栓形成的作用以及降血糖、血脂、强心、抗失血性休克等作用。,命门火炽，肝阳上亢，及素有湿热，小便不利者禁服。,http://www.zhongyoo.com//uploads/allimg/2111/1-21112121450QI.jpg,"山西,陕西,山东",性微温,"味酸,涩","肝经,肾经"
萝藦 luomo,芄兰、羊角菜、婆婆针线包、奶桨藤、野隔山消。,Herba Acalyphae,萝藦科植物萝藦Metaplexis japonica (Thunb.) Makino的干燥全草或根。,多年生草质藤本，长达8米。全株具乳汁；茎下部木质化，上部较柔韧，有纵条纹，幼叶密被短柔毛，老时毛渐脱落。叶对生，膜质；柄长3～6厘米，先端具丛生腺体；叶片卵状心形，长5～12厘米，宽4～7厘米，先端短渐尖，基部心形，叶耳圆，长1～2厘米，上面绿色，下面粉绿色，两面无毛；侧脉10～12对，在叶背略明显。总状式聚伞花序腋生或腋外生；总花梗长6～12厘米，被短柔毛；花梗长约8毫米，被短柔毛；小苞片膜质，披针形，先端渐尖；花萼裂片披针形，外面被微毛；花冠白色，有淡紫红色斑纹，近辐状；花冠裂片张开，先端反折，基部向左覆盖；副花冠环状，着生于合蕊冠上，短5裂，裂片兜状；雄蕊连生成圆锥状，并包围雌蕊在其中；花粉块下垂；子房由2枚离生心皮组成，无毛，柱头延伸成一长喙，先端2裂。蓇葖果叉生，纺锤形，平滑无毛，长8～9厘米，先端渐尖，基部膨大。种子扁平，褐色，有膜质边，先端具白色绢质种毛。花期7～8月，果期9～12月。,生于林边荒地、河边、路旁灌木丛中。分布于东北、华北、华东及陕西、甘肃、河南、湖北、湖南、贵州等地。,7～8月采收全草，鲜用或晒干。块根夏、秋季采挖，洗净，晒干。,常单一或数股绞扭呈束状，长短不一。茎为长圆柱形，老茎略偏，稍扭曲，具分枝。直径达1.5厘米；表面灰白色或浅黄绿色，有纵纹及节；质柔韧或稍脆，折断面皮部强纤维性老茎木质部明显，常呈新月形至半月形，可见众多管孔，髓部中空。叶对生，多皱缩，展平后叶片呈卵状心形至长卵形，长4～10厘米，宽3～8厘米；顶端渐尖，基部心形，全缘或微波状，上面枯黄色或浅黄绿色，背面色较浅或呈粉黄色，具长柄。总状花序被灰白色短柔毛。蓇葖果长卵形或卵状披针形。种子顶端具一簇白色长绢毛。气微，味淡。,性平，味甘、辛。归脾经、肺经、肾经(《吉林省中药材标准第一册（2019年版）》)。,补精益气，通乳，解毒。属补虚药下属分类的补阳药。,内服：煎汤，15～60克。外用：鲜品适量，捣敷。主治虚损劳伤，阳痿，遗精白带，乳汁不足，丹毒，瘰疬，疔疮，蛇虫咬伤。,本品含酯型苷、苯甲酰热马酮、萝藦苷元、异热马酮、肉珊瑚苷元、萝藦米宁、二苯甲酰萝藦醇、去酰萝藦苷元、去酰牛皮消苷元、夜来香素、去羟基肉珊瑚苷元等。,①治阳痿：箩藦根、淫羊藿根、仙茅根各9克。水煎服，每日1剂。（《江西草药》）,具有抗肿瘤、降血糖、降血脂、抗生育作用。,老弱气虚者慎服，孕妇禁服。,http://www.zhongyoo.com//uploads/allimg/2111/1-211119102Z59C.jpg,"华北,华东,陕西,甘肃,河南,湖北,湖南,贵州",性平,"味甘,辛","脾经,肺经,肾经"
